org_id,all_targets,low_targets,medium_targets,high_targets,critical_targets,service_count,ip_count,network_count
3143f1a8-92ca-4cec-b9ef-49d4d30cb47c,30,16,14,0,0,17,46,0
49be93a0-b5e4-4a47-b119-923972d590aa,144,34,104,4,2,25,549,37
b549e530-d95f-400a-b5e8-9d0f973e4fc1,331,135,191,3,2,45,779,5
5e01a419-fd2a-43d8-8a8c-4c5224233a3b,81,19,59,2,1,17,160,40
89623ad5-6051-444f-aff4-529f7e7e2e70,1674,1408,263,2,1,23,1146,5
61ee416c-d5a5-416a-aed2-21488acb0067,277,149,117,10,1,38,553,235
13b3ce91-e4ba-476b-90f5-74d70d270394,62,19,42,1,0,13,148,2
cdd75644-15c1-4574-99f4-bd49b9fa394c,237,157,74,6,0,38,377,2
87fd3268-fba3-4a7c-8ffd-9e3e36ad7085,35,21,11,1,2,10,47,0
fc5c0006-9b35-4ee4-9f24-dd89d22dc1d6,59,31,24,2,2,19,69,38
48762cd2-78c2-40e1-99b1-2cb1ebd516c9,323,67,241,15,0,33,264,5
de66f683-989b-41c7-965e-01f62f91d4bb,23,15,8,0,0,7,13,1
b37e5c65-75bf-4387-8707-2db33c8607a6,60,45,15,0,0,11,41,1
5df99ec4-532a-4752-938e-1d1bbe3f3d5c,200,146,54,0,0,25,341,22
b7b1a259-2ecd-4b7b-854f-fdf5e7f4d01a,194,93,96,5,0,22,281,0
edf81ff6-359f-48f6-a371-42b161f76f4e,206,97,105,4,0,27,141,2
50fd26c7-1a83-4f03-a2e5-4ef31ea4a114,1605,1306,293,5,1,59,1967,9
a26cb204-8059-46bf-91b7-377c0854ab8f,43,7,30,3,3,12,31,1
f5f8d2be-6622-4aba-a3ec-20dd1ef77209,36,7,28,1,0,12,63,2
4c1909b4-54c5-4802-a30b-39736408a7bd,160,35,116,6,3,37,272,1
410ab98b-0862-4ea8-b028-3a38ca96bd3d,4444,3089,1299,56,0,157,9401,45
8573a64c-71c9-418b-9784-d6d197f994cc,2368,1460,853,55,0,69,7252,19
71803330-934a-4c4d-bd82-af1ba5e73ae8,19,4,10,4,1,8,21,0
